transaction_id,items
1,"Screwdriver Set, Spanner, File Tool"
2,"Sweater, Dupatta, Jeans, Jeans, Saree"
3,"Highlighter, Highlighter, Highlighter, Compass Box"
4,"Punching Machine, Highlighter, Pen Set"
5,"PVC Pipe, Water Tap, Flush Tank, Pipe Fitting, PVC Pipe"
6,"Toothpaste, Tea Powder, Shampoo Bottle"
7,"Sports Shoes, Slippers, Sports Shoes"
8,"Distribution Board, Ceiling Fan"
9,"Sharpener, Crayons"
10,"Leggings, Sweater, Sweater, Dupatta"
11,"Slippers, Formal Shoes, Gumboots"
12,"Loafers, Sandal, Flip Flops, Running Shoes"
13,"Wire Brush, Spirit Level"
14,"Hair Oil, Bathing Soap, Rice 1kg, Bathing Soap, Shampoo Bottle"
15,"Pipe Fitting, Elbow Joint, PVC Pipe"
16,"T-Shirt, Kurta, Kurta, Innerwear"
17,"Main Switch, Voltage Stabilizer"
18,"Shirt, Dupatta, Dhoti, Dhoti"
19,"Leggings, Salwar, Shirt"
20,"Salt 1kg, Coffee Powder"
21,"Regulator, Distribution Board, Switch, Inverter Battery"
22,"Socket, Insulation Tape"
23,"Hose Pipe, Shower Head, Ball Valve, Elbow Joint"
24,"Salwar, Lungi, Salwar, Innerwear, T-Shirt"
25,"Water Tap, Teflon Tape, Water Tap, Gate Valve"
26,"Sharpener, File Folder, Pen Set, Glue Stick, Glue Stick"
27,"Story Book, SSLC Maths Guide"
28,"Teflon Tape, Ball Valve, Solvent Cement, Ball Valve, Flexible Hose"
29,"Canvas Shoes, Canvas Shoes"
30,"NCERT Science, SSLC Maths Guide, SSLC Maths Guide, General Knowledge"
31,"General Knowledge, General Knowledge, PUC Physics Text"
32,"Carburetor Jet, Brake Lever, Cam Chain, Fuel Petcock, Headlight Bulb"
33,"Running Shoes, Sandal"
34,"Piston Ring, Disc Brake Pad, Clutch Cable"
35,"Allen Key Set, Wrench"
36,"Clutch Cable, Valve Guide, Wheel Bearing, Spark Plug"
37,"Biscuits, Biscuits, Bathing Soap"
38,"Coffee Powder, Dishwash Bar, Toothpaste"
39,"Atlas, Atlas, Story Book"
40,"PVC Pipe, Solvent Cement, Shower Head, Hose Pipe, Flush Tank"
41,"English Grammar, SSLC Maths Guide, General Knowledge, SSLC Maths Guide"
42,"Kurta, Saree"
43,"Brake Shoe, Fuel Petcock, Wheel Bearing, Coolant, Disc Brake Pad"
44,"Hacksaw Blade, Wrench"
45,"Brake Shoe, Brake Lever, Headlight Bulb, Indicator Bulb, Carburetor Jet"
46,"Running Shoes, Loafers, Chappal, Canvas Shoes"
47,"Nails Pack, Screws Pack, Spanner, Bolts Set, Allen Key Set"
48,"Voltage Stabilizer, MCB, Inverter Battery, Exhaust Fan, MCB"
49,"Saree, Sweater"
50,"PVC Pipe, Flush Tank, Flush Tank"
51,"Pliers, Bolts Set, Spirit Level, Wire Brush"
52,"English Grammar, General Knowledge, Story Book, SSLC Maths Guide"
53,"Atlas, Kannada Text Book, Kannada Text Book, General Knowledge"
54,"Gate Valve, Solvent Cement, Hose Pipe, Flexible Hose, Gate Valve"
55,"Switch, Ceiling Fan, Exhaust Fan, Tube Light, LED Bulb"
56,"Shampoo Bottle, Shampoo Bottle"
57,"Drill Bit, Spanner, Spirit Level, Hammer"
58,"Competitive Exam Guide, NCERT Science"
59,"Tea Powder, Face Cream, Biscuits, Face Cream"
60,"Loafers, Formal Shoes, Flip Flops, Formal Shoes, Sandal"
61,"Gate Valve, Ball Valve"
62,"Coffee Powder, Toothpaste, Toothpaste, Sugar 1kg, Dishwash Bar"
63,"Insulation Tape, Ceiling Fan, Tube Light, Fan Capacitor"
64,"Teflon Tape, Water Tap, PVC Pipe, Flush Tank, Ball Valve"
65,"Pliers, Measuring Tape, File Tool"
66,"NCERT Science, Competitive Exam Guide, Atlas, Dictionary"
67,"Bathing Soap, Coffee Powder, Face Cream"
68,"Spoke Set, Engine Oil, Tyre Tube, Accelerator Cable"
69,"Wrench, Hammer"
70,"Spirit Level, Chisel, Drill Bit, Sandpaper"
71,"Casing Capping, Casing Capping, MCB, Ceiling Fan"
72,"Nuts Set, Bolts Set, Nails Pack, Sandpaper"
73,"Canvas Shoes, Canvas Shoes, School Shoes, Canvas Shoes"
74,"Spanner, File Tool"
75,"General Knowledge, English Grammar, Competitive Exam Guide, Competitive Exam Guide"
76,"Casing Capping, Switch, Isolator, Voltage Stabilizer"
77,"Drill Bit, Hammer"
78,"Dishwash Bar, Toothpaste, Shampoo Bottle, Face Cream, Tea Powder"
79,"General Knowledge, Dictionary, NCERT Science, NCERT Science, Atlas"
80,"Pipe Fitting, Teflon Tape, Solvent Cement, Ball Valve, Flexible Hose"
81,"Atlas, Dictionary"
82,"Tube Light, LED Bulb"
83,"Carburetor Jet, Indicator Bulb"
84,"Tube Light, Exhaust Fan, Distribution Board"
85,"Face Cream, Rice 1kg, Toothpaste, Coffee Powder"
86,"Bathing Soap, Toothpaste, Tea Powder, Tea Powder, Face Cream"
87,"Speedometer Cable, Carburetor Jet, Gear Oil, Chain Sprocket"
88,"Competitive Exam Guide, Kannada Text Book, SSLC Maths Guide, SSLC Maths Guide, PUC Physics Text"
89,"Highlighter, File Folder"
90,"PVC Pipe, Shower Head"
91,"Wire Bundle, Socket, Insulation Tape, Wire Bundle, Socket"
92,"Chisel, Spirit Level, Screws Pack, Measuring Tape"
93,"Eraser Pack, File Folder, Calculator, Crayons, Sticky Notes"
94,"Pipe Fitting, Wash Basin"
95,"Fan Capacitor, Extension Board, Ceiling Fan, Extension Board"
96,"Sandal, Slippers, Sandal, Hawai Chappal, Chappal"
97,"Washing Powder, Sugar 1kg, Toothpaste, Washing Powder, Rice 1kg"
98,"Coolant, Rear View Mirror, Valve Guide, Rim Lock"
99,"Voltage Stabilizer, Main Switch, Socket"
100,"Dictionary, Kannada Text Book, PUC Physics Text"
101,"Leggings, Lungi"
102,"Shirt, Towel, Jeans"
103,"Drill Bit, Safety Goggles, Nails Pack, Screws Pack"
104,"Gate Valve, Flush Tank, Solvent Cement"
105,"Water Tap, Wash Basin, Wash Basin, Gate Valve"
106,"Hacksaw Blade, Allen Key Set, Bolts Set, File Tool, Bolts Set"
107,"File Folder, Sharpener, Sticky Notes, File Folder"
108,"Isolator, Voltage Stabilizer, Inverter Battery, Distribution Board"
109,"Tube Light, Wire Bundle, Distribution Board, Extension Board, Main Switch"
110,"Dictionary, NCERT Science, General Knowledge, Story Book"
111,"Ball Valve, Pipe Fitting"
112,"PVC Pipe, Wash Basin, Wash Basin, Flexible Hose, PVC Pipe"
113,"Insulation Tape, Voltage Stabilizer, Wire Bundle, Isolator"
114,"Flush Tank, Elbow Joint, Gate Valve, Teflon Tape, Flexible Hose"
115,"Sandpaper, Wrench, Drill Bit"
116,"Screws Pack, Screws Pack, Nuts Set, Allen Key Set"
117,"Nails Pack, Wire Brush, Screwdriver Set"
118,"Piston Ring, Fuel Filter, Silencer Guard, Ignition Coil"
119,"Inverter Battery, Switch"
120,"Slippers, Flip Flops, Sandal, Sports Shoes, Loafers"
121,"Hand Saw, Screws Pack"
122,"General Knowledge, NCERT Science, PUC Physics Text"
123,"File Folder, Stapler, Compass Box"
124,"Shampoo Bottle, Rice 1kg, Face Cream, Washing Powder, Biscuits"
125,"SSLC Maths Guide, SSLC Maths Guide, English Grammar"
126,"Salt 1kg, Salt 1kg, Tea Powder, Bathing Soap"
127,"Drawing Book, Sharpener, Pen Set, Drawing Book, Calculator"
128,"Brake Shoe, Valve Guide, Chain Sprocket, Bike Chain, Chain Sprocket"
129,"Main Switch, Casing Capping, Exhaust Fan"
130,"General Knowledge, NCERT Science"
131,"Wash Basin, Shower Head, Water Tap"
132,"Pencil Box, Ruler"
133,"SSLC Maths Guide, NCERT Science, Atlas, Atlas, English Grammar"
134,"Speedometer Cable, Carburetor Jet"
135,"Solvent Cement, Ball Valve, Teflon Tape, Solvent Cement"
136,"Face Cream, Salt 1kg, Toothpaste, Salt 1kg, Bathing Soap"
137,"Screwdriver Set, Chisel, Spanner"
138,"Flexible Hose, Wash Basin, Flexible Hose, Hose Pipe, Pipe Fitting"
139,"SSLC Maths Guide, Atlas"
140,"Inverter Battery, Tube Light, Insulation Tape"
141,"English Grammar, NCERT Science, Story Book, English Grammar"
142,"Sugar 1kg, Salt 1kg, Bathing Soap"
143,"Tea Powder, Shampoo Bottle, Dishwash Bar, Hair Oil, Washing Powder"
144,"Sandal, Formal Shoes, Flip Flops, Safety Shoes"
145,"Screwdriver Set, Spirit Level, Nails Pack, Sandpaper"
146,"Dictionary, Competitive Exam Guide, Kannada Text Book"
147,"PVC Pipe, Flush Tank"
148,"Chisel, Spanner, Hand Saw"
149,"Air Filter, Carburetor Jet, Fuel Petcock, Puncture Kit"
150,"Biscuits, Shampoo Bottle, Sugar 1kg, Toothpaste"
151,"Markers, Sharpener, Calculator"
152,"Switch, Regulator, Insulation Tape, Switch"
153,"Salt 1kg, Salt 1kg, Sugar 1kg"
154,"File Folder, Highlighter, Chart Paper, Punching Machine"
155,"Speedometer Cable, Speedometer Cable, Coolant, Valve Guide"
156,"Rice 1kg, Bathing Soap"
157,"Bike Chain, Tyre Tube"
158,"Highlighter, Punching Machine, Sticky Notes"
159,"Competitive Exam Guide, English Grammar, English Grammar, Dictionary, English Grammar"
160,"Sweater, Innerwear, Kurta"
161,"Canvas Shoes, Safety Shoes, Slippers, Sports Shoes"
162,"Pen Set, Chart Paper, Compass Box, Markers"
163,"Distribution Board, Voltage Stabilizer"
164,"Washing Powder, Salt 1kg, Bathing Soap, Dishwash Bar"
165,"Clutch Cable, Bike Chain, Piston Ring"
166,"Measuring Tape, Safety Goggles, Allen Key Set"
167,"Sugar 1kg, Washing Powder"
168,"Brake Lever, Fuel Filter, Coolant, Puncture Kit, Brake Lever"
169,"Allen Key Set, Sandpaper"
170,"Sharpener, Calculator, Punching Machine, Eraser Pack"
171,"Distribution Board, Inverter Battery"
172,"File Tool, Hand Saw, Hand Saw"
173,"Kurta, Salwar"
174,"Salt 1kg, Biscuits, Salt 1kg"
175,"Slippers, Chappal, Running Shoes"
176,"Dhoti, Jacket, Kurta"
177,"Accelerator Cable, Brake Shoe, Drive Belt, Valve Guide"
178,"Chisel, Measuring Tape, Safety Goggles, Nuts Set"
179,"Coffee Powder, Shampoo Bottle, Coffee Powder"
180,"Safety Shoes, School Shoes, School Shoes, Flip Flops"
181,"Shower Head, Shower Head"
182,"Formal Shoes, Gumboots, School Shoes, Chappal"
183,"Hammer, Spanner, Safety Goggles, Pliers, Screws Pack"
184,"Hose Pipe, Wash Basin, Flexible Hose"
185,"Atlas, English Grammar, Story Book, Atlas"
186,"Shock Absorber, Valve Guide, Wheel Bearing, Rear View Mirror"
187,"Ceiling Fan, Casing Capping, Insulation Tape"
188,"NCERT Science, Competitive Exam Guide"
189,"Atlas, SSLC Maths Guide, SSLC Maths Guide"
190,"Notebook, File Folder, Stapler"
191,"Flexible Hose, Elbow Joint, Wash Basin, Elbow Joint"
192,"Main Switch, LED Bulb, Tube Light"
193,"Flush Tank, Water Tap"
194,"Biscuits, Dishwash Bar, Shampoo Bottle, Shampoo Bottle"
195,"Elbow Joint, Solvent Cement, Pipe Fitting"
196,"Nuts Set, File Tool"
197,"Competitive Exam Guide, General Knowledge, English Grammar, English Grammar, Atlas"
198,"Jeans, Trouser, Lungi"
199,"Sweater, Towel, Saree, Jacket"
