product_name,category,price,brand,description
NGK BPR7ES Spark Plug,Vehicle Spare Parts,85,NGK,"Standard spark plug for 100cc-150cc bikes. OEM fitment for Hero, Honda, Bajaj."
Bosch Spark Plug UR4CC,Vehicle Spare Parts,90,Bosch,Copper-core spark plug with high ignition reliability for commuter motorcycles.
Castrol Power1 4T Engine Oil 1L,Vehicle Spare Parts,380,Castrol,Fully synthetic 4T motorcycle engine oil 10W-50. Protects at high RPM.
Castrol Activ 4T Engine Oil 1L,Vehicle Spare Parts,295,Castrol,Mineral 4T engine oil 20W-40. Recommended for Hero Splendor and HF Deluxe.
Motul 3000 4T Engine Oil 1L,Vehicle Spare Parts,310,Motul,Mineral-based 4T oil 10W-30. Suitable for commuter and sports bikes.
Ceat Gripp X3 80/100-18 Tyre,Vehicle Spare Parts,1450,Ceat,Rear tyre for 150cc bikes. Diamond-pattern tread for superior grip on Indian roads.
MRF Zapper-F 2.75-17 Tyre,Vehicle Spare Parts,980,MRF,"Front tyre for standard motorcycles. Long mileage, stable cornering."
Apollo Actigrip R 90/90-17 Tyre,Vehicle Spare Parts,1250,Apollo,All-road rear tyre for 125cc-150cc bikes. Excellent wet-weather grip.
Exide Bike 35Ah Battery,Vehicle Spare Parts,1850,Exide,"Maintenance-free motorcycle battery for Hero Splendor, Honda Shine, Bajaj Pulsar."
Amaron Pro Bike Rider 2.5Ah Battery,Vehicle Spare Parts,1750,Amaron,VRLA sealed maintenance-free battery for 100cc-125cc bikes.
Endurance Disc Brake Pad,Vehicle Spare Parts,350,Endurance,"OEM-grade sintered disc brake pads for Bajaj Pulsar, Hero Glamour."
EBC Standard Brake Shoe,Vehicle Spare Parts,280,EBC,"Drum brake shoes for commuter bikes. Set of 2. Suitable for Hero, Honda."
Gabriel Hi-Rider Shock Absorber,Vehicle Spare Parts,950,Gabriel,"Rear shock absorber for Hero Splendor, HF Deluxe. Set of 2."
Minda Clutch Cable 100cm,Vehicle Spare Parts,120,Minda,"Universal motorcycle clutch cable 100cm. Compatible with Hero, Honda, TVS."
Uno Minda Accelerator Cable,Vehicle Spare Parts,110,Minda,Accelerator throttle cable for standard commuter motorcycles.
Varroc Air Filter Sponge,Vehicle Spare Parts,180,Varroc,Foam air filter element for Hero Splendor and Passion. Replace every 8000 km.
Bosch Oil Filter Motorcycle,Vehicle Spare Parts,220,Bosch,Screw-on oil filter for 150cc-200cc motorcycles. Traps fine particles.
Pricol Digital Speedometer,Vehicle Spare Parts,650,Pricol,Digital speedometer for commuter motorcycles with odometer and trip meter.
Hero Genuine Indicator Bulb 12V,Vehicle Spare Parts,45,Hero,Original equipment indicator bulb 12V 10W for Hero motorcycles.
Lumax Headlight Bulb H4 35W,Vehicle Spare Parts,95,Lumax,H4 halogen headlight bulb 12V 35/35W for two-wheelers.
Sameer Chain Sprocket Kit,Vehicle Spare Parts,750,Sameer,Chain and sprocket kit 428-116L for 100cc-125cc bikes.
D.I.D Chain 428 Standard 118L,Vehicle Spare Parts,480,DID,DID standard chain 428-118 links for commuter motorcycles.
Wim Plast Clutch Plate Set,Vehicle Spare Parts,650,Wim Plast,OEM-quality clutch plate set for Hero Splendor and Passion (5-plate set).
Minda Fuel Petcock Assembly,Vehicle Spare Parts,280,Minda,"Fuel petcock with strainer for Hero Splendor, HF Deluxe, Glamour."
Purolator Fuel Filter Inline,Vehicle Spare Parts,120,Purolator,Inline fuel filter for carburetted motorcycles. Removes dirt and sediment.
Minda Horn 12V Compact,Vehicle Spare Parts,145,Minda,Electromagnetic horn 12V for two-wheelers. High-decibel 105dB output.
Fiem Wing Mirror Universal,Vehicle Spare Parts,180,Fiem,"Universal rear-view mirror for motorcycles. Adjustable arm, black finish."
Piston Kit 50mm Standard,Vehicle Spare Parts,480,Rico Auto,"Standard-bore piston kit with rings, pin and clips for 100cc engine block."
Valve Guide Seat 20mm,Vehicle Spare Parts,220,Rico Auto,Inlet/exhaust valve guide set for 100cc 4-stroke single-cylinder engines.
Silencer End Muffler Guard,Vehicle Spare Parts,250,Gaadi,Chrome-finish silencer guard for Hero Splendor. Heat-resistant coating.
Bosch Rectifier Regulator,Vehicle Spare Parts,480,Bosch,Voltage rectifier-cum-regulator for 100cc-150cc motorcycles. 12V 6A output.
Rim Lock Nut 1.85x18,Vehicle Spare Parts,120,Speedwav,Rim lock for tubeless conversion on spoke wheels. 1.85 x 18 size.
TVS Eurogrip 90/90-17 Tyre,Vehicle Spare Parts,1200,TVS,Rear tyre for 125cc-150cc bikes. Ribbed tread for balanced wet/dry performance.
K&N High-Flow Air Filter,Vehicle Spare Parts,1800,KN,Performance reusable air filter for 150cc-200cc sports bikes. Washable.
WD-40 Multipurpose Spray 420ml,Vehicle Spare Parts,320,WD-40,"Anti-rust, penetrating, lubricating spray. Ideal for cables, chains, hinges."
Motul Chain Lube Spray 400ml,Vehicle Spare Parts,380,Motul,High-adhesion chain lubricant for open chains. Reduces friction and wear.
Havells 6A 1-Way Switch,Electrical,45,Havells,Modular 6A single one-way switch. Suitable for Havells modular plates.
Anchor Roma 6A 2-Way Switch,Electrical,55,Anchor,Anchor Roma series 6A two-way switch. Glossy white finish.
Legrand 16A Power Socket,Electrical,185,Legrand,"Legrand Myrius 16A 3-pin socket with shutter. Suitable for AC, geysers."
Havells 25A MCB Type C,Electrical,280,Havells,Miniature circuit breaker 25A single-pole Type C. Din-rail mount. ISI marked.
Schneider 32A MCB Type B,Electrical,320,Schneider,Schneider Easy9 32A SP MCB Type B. IEC 60898-1 compliant. For home circuits.
Legrand 4-Way MCB Box,Electrical,480,Legrand,4-way SP MCB distribution box with transparent cover. Wall mount.
Finolex 1.5 sq mm FRLS Wire 90m,Electrical,1850,Finolex,FR-LS copper wiring 1.5 sq mm 90m coil. Red/Blue/Yellow/Green available.
Finolex 2.5 sq mm FRLS Wire 90m,Electrical,2950,Finolex,FR-LS copper wiring 2.5 sq mm 90m coil. For power points and AC circuits.
Polycab 4 sq mm House Wire 90m,Electrical,4200,Polycab,Copper house wire 4 sq mm 90m coil. FRLS insulated. ISI certified.
Philips 9W LED Bulb Warm White,Electrical,99,Philips,Philips Stellar Bright 9W E27 LED bulb 3000K warm white. 950 lumen.
Syska 12W LED Bulb Cool White,Electrical,120,Syska,Syska 12W E27 LED bulb 6500K daylight. 1200 lumen. Energy star rated.
Bajaj 36W LED Batten Tube Light,Electrical,380,Bajaj,Bajaj Ledline 36W LED batten 4-ft. Cool white 6500K. 3600 lumen.
Wipro 20W LED Panel Light Round,Electrical,450,Wipro,Wipro Garnet 20W round LED panel 6500K for false ceiling. 200mm cut-out.
Orient 1200mm Ceiling Fan White,Electrical,1800,Orient,Orient 1200mm 3-blade ceiling fan 70W. White finish. BEE 5-star rated.
Havells 1200mm Ceiling Fan Brown,Electrical,2200,Havells,Havells Andria 1200mm ceiling fan. Brown antique finish. 4-speed regulator.
Crompton 5A Table Fan,Electrical,1200,Crompton,Crompton High Flo Jet 3-blade table fan. 3-speed settings. 400mm sweep.
Havells 1000W Dry Iron,Electrical,850,Havells,Havells Fabio dry iron 1000W. Non-stick soleplate. 3-position heat selector.
V-Guard 6-Socket Extension Board,Electrical,650,V-Guard,V-Guard VG 306 6-socket extension cord 5A with 5m cord and master switch.
Anchor 3-Pin 5A Plug Top,Electrical,25,Anchor,"Anchor Roma 3-pin 5A plug top. Suitable for TVs, fans, chargers."
Finolex Conduit Pipe 20mm 2m,Electrical,65,Finolex,Heavy-duty PVC conduit pipe 20mm diameter 2m length. ISI marked.
L&T DOL Starter 5HP,Electrical,1850,L&T,L&T direct-on-line starter 5HP 415V 3-phase for water pumps and motors.
Kirloskar 0.5HP Water Pump,Electrical,3800,Kirloskar,Kirloskar STAR-1 0.5HP monoblock water pump for residential use. 1500 LPH.
Havells 25A RCCB 30mA,Electrical,680,Havells,Havells RCCB 25A 2P 30mA trip. Protects against earth leakage. Din rail.
Prayog PVC Electrical Tape 18mm,Electrical,35,Prayog,Self-adhesive PVC insulation tape 18mm x 10m. Black. Flame-retardant.
Osram 18W CFL Bulb E27,Electrical,145,Osram,Osram Dulux 18W E27 CFL spiral bulb 6500K. 1200 lumen. Instant start.
GM Electricals 5A Dimmer Switch,Electrical,220,GM Electricals,GM Electricals modular 5A fan/light dimmer switch. Rotary control.
Wipro LED Driver 12V 20W,Electrical,280,Wipro,Constant voltage LED driver 12V DC 20W for LED strips and panels.
ABB 24-Hour Timer Switch 16A,Electrical,680,ABB,"ABB mechanical 24-hour timer switch for street lights, geysers, pumps. 16A."
Anchor Junction Box 4x4,Electrical,65,Anchor,PVC junction box 4 x 4 x 2 inch with knockout holes. Heavy-duty.
Stanley DT-832 Digital Multimeter,Electrical,650,Stanley,"Auto-ranging digital multimeter. Measures AC/DC voltage, current, resistance."
Havells 35A DP Isolator Switch,Electrical,480,Havells,DP 35A isolator switch for air conditioners and water heaters. Panel mount.
Polycab Flexible Cord 1.5A 10m,Electrical,380,Polycab,Polycab 2-core flexible copper cord 1.5A 10m for appliance connections.
Havells 400VA Pure Sine Inverter,Electrical,4800,Havells,"Havells Sinus 400VA pure sine-wave inverter for fans, CFL, LED, TV."
Siemens 40A Main Switch,Electrical,950,Siemens,Siemens double-pole 40A isolation switch for main panels. IEC 60669.
Amtech LED Night Lamp 0.5W,Electrical,45,Amtech,Plug-in LED indicator night lamp 0.5W B22. Blue/white. Minimal power.
